num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0000;   1;     55;  0.2503;    1.0;    1.0;  5.14e-07;
         1;  0.0000;   2;     43;  0.4127;    1.0;    1.0;  4.00e-03;
         1;  0.0100;   1;     75;  0.3731;    1.0;    1.0;  2.76e-02;
         1;  0.0100;   2;     59;  0.7457;    1.0;    1.0;  2.76e-02;
         1;  0.1000;   1;     43;  0.2948;    1.0;    1.0;  9.71e-02;
         1;  0.1000;   2;     23;  0.2581;    1.0;    1.0;  9.71e-02;
         2;  0.0000;   1;    329;  1.2063;    1.0;    1.0;  1.45e-06;
         2;  0.0000;   2;     23;  0.2625;    1.0;    1.0;  1.59e-09;
         2;  0.0100;   1;    136;  0.6243;    1.0;    1.0;  5.15e-02;
         2;  0.0100;   2;     57;  0.4607;    1.0;    1.0;  5.15e-02;
         2;  0.1000;   1;     36;  0.2823;    1.0;    0.9;  1.31e-01;
         2;  0.1000;   2;     33;  0.4065;    1.0;    0.9;  1.31e-01;
         3;  0.0000;   1;   1000;  3.6216;    1.0;    1.0;  1.29e-04;
         3;  0.0000;   2;     53;  0.3154;    1.0;    1.0;  1.56e-26;
         3;  0.0100;   1;    207;  0.7794;    1.0;    1.0;  6.84e-02;
         3;  0.0100;   2;     58;  0.5068;    1.0;    1.0;  6.84e-02;
         3;  0.1000;   1;     46;  0.3065;    1.0;    0.9;  1.62e-01;
         3;  0.1000;   2;     31;  0.3512;    1.0;    0.9;  1.62e-01;
         4;  0.0000;   1;     44;  0.2240;    1.0;    1.0;  4.70e-07;
         4;  0.0000;   2;   1000;  4.3812;    1.0;    1.0;  3.89e-03;
         4;  0.0100;   1;     69;  0.4283;    1.0;    1.0;  2.63e-02;
         4;  0.0100;   2;     57;  0.4384;    1.0;    1.0;  2.63e-02;
         4;  0.1000;   1;     34;  0.3338;    1.0;    1.0;  9.23e-02;
         4;  0.1000;   2;     22;  0.2105;    1.0;    1.0;  9.23e-02;
         5;  0.0000;   1;     64;  0.2762;    1.0;    1.0;  5.84e-07;
         5;  0.0000;   2;     24;  0.1999;    1.0;    1.0;  2.40e-08;
         5;  0.0100;   1;     94;  0.6466;    1.0;    1.0;  3.39e-02;
         5;  0.0100;   2;     50;  0.4359;    1.0;    1.0;  3.39e-02;
         5;  0.1000;   1;     41;  0.2906;    1.0;    1.0;  1.12e-01;
         5;  0.1000;   2;     28;  0.5414;    1.0;    1.0;  1.12e-01;
         6;  0.0000;   1;      5;  0.0612;    0.5;    0.9;  4.76e-01;
         6;  0.0000;   2;      5;  0.0655;    0.5;    0.9;  4.76e-01;
         6;  0.0100;   1;    124;  0.8727;    1.0;    1.0;  4.52e-02;
         6;  0.0100;   2;     59;  0.5358;    1.0;    1.0;  4.52e-02;
         6;  0.1000;   1;     49;  0.3104;    1.0;    1.0;  1.28e-01;
         6;  0.1000;   2;     28;  0.2733;    1.0;    1.0;  1.28e-01;
         7;  0.0000;   1;     53;  0.2500;    1.0;    1.0;  5.74e-07;
         7;  0.0000;   2;     22;  0.2511;    1.0;    1.0;  3.33e-10;
         7;  0.0100;   1;     78;  0.4259;    1.0;    1.0;  3.21e-02;
         7;  0.0100;   2;     50;  0.3456;    1.0;    1.0;  3.21e-02;
         7;  0.1000;   1;     42;  0.2974;    1.0;    1.0;  1.05e-01;
         7;  0.1000;   2;     29;  0.4006;    1.0;    1.0;  1.05e-01;
         8;  0.0000;   1;   1000;  3.1295;    1.0;    1.0;  6.24e-03;
         8;  0.0000;   2;     58;  0.3965;    1.0;    0.9;  2.40e-02;
         8;  0.0100;   1;    321;  1.2523;    1.0;    1.0;  9.09e-02;
         8;  0.0100;   2;     56;  0.4961;    1.0;    1.0;  9.09e-02;
         8;  0.1000;   1;     37;  0.2653;    0.9;    0.8;  1.76e-01;
         8;  0.1000;   2;     24;  0.2354;    0.9;    0.8;  1.76e-01;
         9;  0.0000;   1;   1000;  3.1975;    1.0;    1.0;  6.97e-06;
         9;  0.0000;   2;     62;  0.4586;    1.0;    1.0;  3.16e-33;
         9;  0.0100;   1;    212;  0.7961;    1.0;    1.0;  6.09e-02;
         9;  0.0100;   2;     57;  0.4907;    1.0;    1.0;  6.09e-02;
         9;  0.1000;   1;     62;  0.3449;    1.0;    0.9;  1.55e-01;
         9;  0.1000;   2;     29;  0.2955;    1.0;    0.9;  1.55e-01;
         0;  0.0000;   1;    180;  0.6719;    1.0;    1.0;  9.48e-07;
         0;  0.0000;   2;     49;  0.4053;    1.0;    1.0;  2.49e-07;
         0;  0.0100;   1;    184;  0.8573;    1.0;    1.0;  5.13e-02;
         0;  0.0100;   2;     56;  0.4172;    1.0;    1.0;  5.13e-02;
         0;  0.1000;   1;     42;  0.3556;    1.0;    1.0;  1.45e-01;
         0;  0.1000;   2;     28;  0.2955;    1.0;    1.0;  1.45e-01;
